name,old_price,new_price,image
Etre exclusif Pull Polo - Homme - 9441 H19 -  Marine Gris,38.00 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/7715/1.jpg?6476
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Marine,50.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/4394/1.jpg?1292
Etre exclusif Polo - Homme - 9337 H21 - Noir 100%Coton,38.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7905/1.jpg?3666
Etre exclusif Gilet - Homme - 8710 H22 -  Charbon,82.00 TND,54.00 TND,https://tn.jumia.is/cms/000_Ramadan22/00_Live/JE/TN-Ram22_Jexpress_Stickybanner.gif
barsha Gilet Homme - Noir,78.00 TND,49.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/1905/1.jpg?3136
barsha Gilet Homme -Mole,38.00 TND,49.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/0194/1.jpg?3032
Etre exclusif Pull - Homme -  9376 H22 - Col roulé - Charbon,60.00 TND,69.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/0194/1.jpg?3032
Maze Pull Homme - Noir Et Blue,78.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/1905/1.jpg?3135
WHITELEAD Pull - Noir - Free - Fire,69.90 TND,27.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/6925/1.jpg?9990
Etre exclusif Pull - Homme -  9376 H22 - Col roulé - GRIS,89.90 TND,69.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/5203/1.jpg?8267
Omiz Pull basic,76.00 TND,34.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/1905/1.jpg?3135
Omiz Pull fantaisie,78.00 TND,39.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/9923/1.jpg?7724
Etre exclusif Body - Homme - 9412 SH - Blanc - Col V,78.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/6884/1.jpg?0927
Etre exclusif Pull Homme - 9335 H21 - Marine - Unie,79.00 TND,46.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/4025/1.jpg?0648
Etre exclusif Pull - Homme -  Pull - Homme -  9376 H22  - Noir,76.00 TND,69.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/4025/1.jpg?0648
Etre exclusif Pull - Homme - 9450 H19 - vert 100% coton,48.00 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/1905/1.jpg?6053
Etre exclusif Body - Homme - 9412 SH - Gris foncé - Col V,79.90 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/3774/1.jpg?4771
Pull - Homme - Sport chic - Marron  - Tissus vinisia,78.00 TND,26.00 TND - 27.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/4025/1.jpg?0648
Omiz Pull col montant torsade,84.90 TND,39.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/5813/1.jpg?4205
